,difficulty,gaslimit,rate,gasprice,confirmtime
301,2.69914,90000,126.96,15,11
302,2.69914,60000,110.14,7,11
303,2.69914,60000,119.76,6.7,11
304,2.69914,60000,109.51,6.7,11
305,2.69914,67882,95.75,2,11
306,2.69914,300000,119.39,3,11
307,2.69914,300000,126.21,3,13
308,2.69914,200000,105.79,2,15
309,2.69914,105818,113.4,40,15
310,2.69914,21000,79.37,6,15
311,2.69914,60000,115.89,10,17
312,2.69914,53031,125.71,3,17
313,2.69914,55000,108.11,10,17
314,2.69914,21000,95.24,10,17
315,2.69914,21000,115.83,3,17
316,2.69914,41906,118.12,20,17
317,2.69914,60000,115.65,3,17
318,2.69914,50000,95.24,5,24
319,2.69914,104346,115,40,30
320,2.69914,1000000,115.55,8,32
321,2.69914,50000,95.24,5,43
322,2.69914,50000,95.24,5,50
323,2.69914,1600000,127.87,3,62
324,2.70101,52412,118.5,8.05,15
325,2.69892,50000,95.24,5,9
326,2.69892,200000,117.28,20,9
327,2.69892,216000,84.82,3.1,9
328,2.69892,400000,115.22,14,9
329,2.69892,21000,95.24,10,9
330,2.69892,99000,90.1,3,11
331,2.69892,21000,119.05,8,11
332,2.69892,100000,118.26,18,13
333,2.69892,400000,118.05,14,13
334,2.69892,105000,119.05,40,13
335,2.69892,150000,120.69,4,13
336,2.69892,21000,124.22,23,13
337,2.69892,21000,119.05,12,13
338,2.69892,21040,116.22,3,13
339,2.69892,90000,114.94,29,13
340,2.69892,90000,105.25,5,15
341,2.69892,200000,115.03,13,17
342,2.69892,50000,95.24,5,17
343,2.69892,400000,115.02,12.5,19
344,2.69892,104000,123.93,14,21
345,2.69892,50000,95.24,5,21
346,2.69892,50000,95.24,5,21
347,2.69892,21000,113.72,8.375,21
348,2.69892,400000,112.74,12.5,21
349,2.69892,500000,118.45,6,23
350,2.69892,420000,108.84,35,23
351,2.69892,50000,95.24,5,23
352,2.69892,36530,115.59,4,23
353,2.69892,126061,122,4,23
354,2.69892,21000,114.29,50,25
355,2.69892,50000,95.24,5,25
356,2.69892,42000,105.42,4.5,25
357,2.69892,21000,116.29,2,25
358,2.69892,90000,115.81,21,25
359,2.69892,90000,114.94,29,25
360,2.69892,90000,114.94,29,25
361,2.69892,21000,95.24,10,25
362,2.69892,70000,119.13,20,25
363,2.69892,60000,115.89,10,28
364,2.69892,21000,116.33,3,28
365,2.69892,60000,115.89,10,28
366,2.69892,21000,115.87,3,28
367,2.69892,21000,95.24,10,28
368,2.69892,75868,117.16,36,39
369,2.69892,75868,117.16,36,39
370,2.69892,75868,117.16,36,39
371,2.69892,75868,117.16,36,39
372,2.69892,75868,117.16,36,39
373,2.69892,50000,95.24,5,45
374,2.69947,60000,102.29,5.575,1
375,2.69947,1000000,120.37,2.6,1
376,2.69947,111000,118.3,11,1
377,2.69947,21040,116.4,3,1
378,2.69947,99000,105.06,10,1
379,2.69947,60000,116.18,6.7,1
380,2.69947,1000000,126.07,2,1
381,2.69947,80000,104.31,8,1
382,2.69947,295021,127.11,2,25
383,2.69947,38122,115.72,2,33
384,2.69947,259615,115.56,2,38
385,2.70002,21000,79.37,6,1
386,2.70002,53000,114.64,2,1
387,2.70002,76869,129.93,3,1
388,2.70002,300000,126.7,2,2
389,2.70002,99000,89.94,3,3
390,2.70002,90000,114.03,29,3
391,2.70002,600000,120.14,2,3
392,2.70002,21000,129.87,11,3
393,2.70002,50000,95.24,5,3
394,2.70002,25200,136.05,7,3
395,2.70002,21000,129.87,11,3
396,2.70002,90000,114.94,29,5
397,2.70002,38058,115.51,2,5
398,2.70002,1000000,116.25,2,5
399,2.70002,21000,95.24,10,7
400,2.70002,25200,142.15,6.7,7
401,2.70002,500000,113.49,1.6,7
402,2.70002,60000,115.56,3,7
403,2.70002,21000,95.24,10,7
404,2.70002,70000,119.13,20,7
405,2.70002,55000,108.11,10,7
406,2.70002,70000,118.73,20,7
407,2.70002,21000,102.04,14,7
408,2.70002,21000,105.82,9,7
409,2.70002,21000,113.38,21,7
410,2.70002,60000,115.76,3,7
411,2.70002,400000,115.07,14,9
412,2.70189,21000,114.29,50,1
413,2.70189,360000,111.86,6.564,5
414,2.70189,79761,94.03,2,5
415,2.70189,70000,119.13,20,5
416,2.70189,3000000,116.16,30,5
417,2.70189,21000,105.82,9,5
418,2.70189,125815,115.78,2,5
419,2.70189,70000,118.93,20,5
420,2.70189,335000,112.98,7.1,5
421,2.70189,70000,118.93,20,5
422,2.70189,340000,87.77,6.5,5
423,2.70244,471305,118.68,2.8,1
424,2.70244,21000,95.24,10,1
425,2.70244,200000,100.89,8,1
426,2.70244,50000,95.24,5,1
427,2.70244,1000000,117.37,3,1
428,2.70244,50000,95.24,5,5
429,2.70244,90000,123.8,11,5
430,2.70244,90000,119.05,20,6
431,2.70244,21000,119.05,8,6
432,2.70244,21000,129.87,11,6
433,2.70244,100000,103.51,6,7
434,2.70244,100000,117.1,61,7
435,2.70244,400000,115.76,14,7
436,2.70244,21000,119.05,12,7
437,2.70244,50000,95.24,5,8
438,2.70244,38370,115.78,2,8
439,2.70244,38370,86.88,3,10
440,2.70244,21000,102.04,14,10
441,2.70244,21000,95.24,10,10
442,2.70244,50000,95.24,5,10
443,2.70244,60000,120.11,10.844,10
444,2.70244,500000,121.78,10,10
445,2.70244,150000,121.7,10,10
446,2.70244,25200,136.05,7,12
447,2.70244,1600000,127.87,3,12
448,2.70244,300000,97.99,2,12
449,2.70244,1000000,117.32,2,12
450,2.70244,21000,114.29,50,12
451,2.70244,76869,129.93,3,12
452,2.70244,60000,111.87,7,12
453,2.70244,42000,115.84,3,12
454,2.70244,21000,119.05,40,12
455,2.70244,1600000,127.87,3,12
456,2.70244,60000,116.25,10,12
457,2.70244,50000,95.24,5,12
458,2.70244,148719,115.27,7,12
459,2.70244,100000,100.56,3,12
460,2.70244,1600000,128.03,3,12
461,2.70244,55000,116.72,15,14
462,2.70244,74528,116.09,7,14
463,2.70244,22000,123.46,27,14
464,2.70244,25200,136.05,7,14
465,2.70244,105156,114.12,40,14
466,2.70244,47521,140.29,3,14
467,2.70244,21000,119.05,16,14
468,2.70244,21000,136.05,7,14
469,2.70244,52000,117.03,41,14
470,2.70244,90000,114.94,29,16
471,2.70244,60000,109.01,7,16
472,2.70244,90000,115.95,29,17
473,2.70244,50000,95.24,5,17
474,2.7009,21000,136.05,7,0
475,2.7009,60000,115.71,3,0
476,2.7009,21000,126.98,15,0
477,2.7009,70000,119.13,20,0
478,2.7009,70000,118.93,20,0
479,2.7009,21000,116.25,3,0
480,2.7009,79761,94.03,2,0
481,2.7009,70000,118.93,20,0
482,2.7009,50000,95.24,5,0
483,2.7009,21000,95.24,10,0
484,2.7009,21000,119.05,20,3
485,2.7009,90000,114.94,29,4
486,2.7009,53615,113.73,41,6
487,2.7009,50000,95.24,5,19
488,2.7009,2000000,114.74,60,21
489,2.7009,2000000,115.43,60,21
490,2.7009,2000000,114.74,60,21
491,2.7009,2000000,115.43,60,21
492,2.7009,2000000,115.43,60,21
493,2.7009,50000,95.24,5,21
494,2.7009,21000,119.05,72,21
495,2.7009,2000000,115.43,60,21
496,2.7009,104770,114.54,40,21
497,2.7009,441305,118.65,2.8,21
498,2.7009,21000,136.05,7,23
499,2.7009,300000,94.66,2,25
500,2.7009,1000000,114.75,8,30
501,2.7009,250000,99.21,1.7,32
502,2.7009,100000,115.66,1.76,36
503,2.7009,60000,116.69,1.6,51
504,2.70145,100000,136.05,7,0
505,2.70145,50000,116.25,1.6,0
506,2.70145,1000000,111.68,4,0
507,2.70145,21000,119.05,16,0
508,2.70145,25200,136.05,7,0
509,2.70145,100000,136.05,7,0
510,2.70145,21000,142.15,6.7,0
511,2.70145,210000,116.42,10,0
512,2.70145,50000,95.24,5,2
513,2.70145,105916,118.02,40,2
514,2.70145,21000,129.87,11,2
515,2.70145,75210,110.6,20,2
516,2.70145,150000,108.73,5.55,2
517,2.70145,100000,117.1,61,2
518,2.70145,200000,108.04,7,2
519,2.70145,75082,110.91,20,2
520,2.70145,79908,121.17,20,2
521,2.70145,21000,129.87,11,2
522,2.70145,74782,111.65,20,2
523,2.70145,79726,121.61,20,2
524,2.70145,210000,110.8,16.6,6
525,2.70145,1000000,117.17,3,6
526,2.70145,160000,127.26,3,6
527,2.70145,21000,114.29,50,6
528,2.70145,21000,115.83,1.6,6
529,2.70145,90000,117.1,36.6,6
530,2.70145,88068,101.38,2.24,6
531,2.70145,1000000,112.13,2,36
532,2.70145,38122,114.63,1.6,39
533,2.70145,1000000,120.35,2,43
534,2.70331,55000,108.11,10,1
535,2.70331,60000,115.89,10,1
536,2.70331,110011,125.52,3,1
537,2.70331,21000,119.05,20,1
538,2.70331,21000,128.14,14.865,1
539,2.70331,250000,114.98,3,2
540,2.70331,21040,116.37,2.4,2
541,2.70331,50000,95.24,5,2
542,2.70331,70000,118.93,20,4
543,2.70331,70000,119.13,20,4
544,2.70331,65000,127.22,8.1,4
545,2.70331,70000,118.93,20,4
546,2.70331,89510,115.99,7,4
547,2.70331,70000,114.13,7,4
548,2.70331,210000,120.62,6,4
549,2.70331,70000,119.13,20,4
550,2.70331,73978,114.9,40,4
551,2.70331,50000,95.24,5,4
552,2.70331,21000,129.87,11,6
553,2.70331,250000,79.37,6,6
554,2.70331,100000,103.51,6,6
555,2.70331,76869,129.93,3,6
556,2.70331,21000,95.24,10,6
557,2.70331,150000,107.11,10,8
558,2.70331,90000,113.38,21,8
559,2.70331,21000,109.89,13,10
560,2.70331,50000,95.24,5,13
561,2.70331,200000,150.28,2.24,13
562,2.70331,121000,116.36,2,13
563,2.70331,600000,116.32,3,13
564,2.70331,50000,95.24,10,15
565,2.70331,1000000,115.62,8,17
566,2.70331,36848,121.52,6.7,17
567,2.70331,90000,123.17,11,17
568,2.70331,75210,110.6,20,17
569,2.70331,50000,95.24,10,17
570,2.70331,200000,127.4,10,19
571,2.70331,50000,123.69,7.7,19
572,2.70331,21000,136.05,7,19
573,2.70331,40700,113.64,12,21
574,2.70331,21000,114.29,50,21
575,2.70331,50000,95.24,10,21
576,2.70331,36848,121.52,6.7,23
577,2.70331,200000,122.84,3.2,23
578,2.70331,2000000,116.39,60,23
579,2.70331,1000000,117.19,3,23
580,2.70331,2000000,115.43,60,23
581,2.70331,182000,125.99,4,25
582,2.70331,50000,95.24,10,25
583,2.70331,50000,95.24,5,25
584,2.70331,50000,95.24,5,27
585,2.70122,90000,126.96,15,1
586,2.70122,70000,118.93,20,2
587,2.70122,70000,118.93,20,2
588,2.70122,70000,118.93,20,2
589,2.70122,52363,114.58,40,2
590,2.70122,21000,129.87,11,2
591,2.70122,120000,116.18,50,2
592,2.70122,70000,118.93,20,2
593,2.70122,21000,102.04,14,3
594,2.70122,60000,110.17,7,4
595,2.70122,21000,119.05,8,4
596,2.70122,50000,95.24,10,4
597,2.70122,90000,95.24,10,4
598,2.70122,600000,118.81,7,4
599,2.70122,76869,129.93,3,4
600,2.70122,50000,95.24,5,4
601,2.70122,50000,126.54,10,6
602,2.70122,37336,119.93,6.7,6
603,2.70122,65000,127.16,8.1,6
604,2.70122,50000,95.24,5,6
605,2.70122,50000,95.24,5,16
606,2.70122,1600000,127.87,3,18
607,2.70122,1600000,128.03,3,18
608,2.70122,50000,95.24,5,18
609,2.70122,1600000,127.87,3,18
610,2.70122,90000,119.05,40,18
611,2.70122,2000000,125.17,10,18
612,2.70122,50000,95.24,10,18
613,2.70122,2000000,125.17,10,18
614,2.70122,2000000,115.43,10,18
615,2.70122,2000000,125.17,10,18
616,2.70122,60000,108.34,10,19
617,2.70122,1600000,127.87,3,19
618,2.70122,1600000,127.87,3,19
619,2.70122,250000,109.89,4,19
620,2.70046,90000,114.94,29,2
621,2.70046,50000,116.76,1,2
622,2.70046,50000,95.24,10,2
623,2.70046,50000,115.67,1,2
624,2.70046,79761,94.03,2,2
625,2.70046,50000,116.14,1,3
626,2.70046,36668,116.12,2.24,3
627,2.70046,50000,116.33,1,3
628,2.70046,50000,115.86,1,5
629,2.70046,50000,115.67,1,5
630,2.70046,50000,116.81,1,5
631,2.70046,79761,94.03,2,19
632,2.70046,158000,93.23,1.92,22
633,2.70024,90000,114.94,29,1
634,2.70024,21000,115.65,1.92,1
635,2.70024,80000,104.1,8,1
636,2.70024,150000,110.31,16.6,1
637,2.70024,60000,111.64,7,2
638,2.70024,21000,136.05,7,13
639,2.70024,60000,115.1,38.969,13
640,2.70024,21000,119.05,8,13
641,2.70024,41906,118.12,20,13
642,2.70024,1000000,117.35,8,15
643,2.70024,60000,111.64,7,17
644,2.70024,60000,136.05,7,17
645,2.70024,80000,115.73,1.7,19
646,2.70024,210000,110.8,16.6,19
647,2.70024,42000,116.24,2.4,38
648,2.70024,900000,115.84,2,44
649,2.70024,21000,115.68,1.6,87
650,2.70024,21000,116.25,1.6,89
651,2.7021,21000,116.21,4,0
652,2.7021,65000,127.16,8.1,0
653,2.7021,55000,112.72,41,0
654,2.7021,500000,113.15,8,0
655,2.7021,60000,111.88,7,0
656,2.7021,70000,119.13,20,6
657,2.7021,70000,113.74,7,17
658,2.7021,60000,115.63,3,17
659,2.7021,70000,118.93,20,17
660,2.7021,21000,114.29,50,21
661,2.7021,90000,120.4,25,25
662,2.7021,500000,113.21,10.5,25
663,2.7021,166666,114.29,50,25
664,2.7021,50000,95.24,5,27
665,2.7021,50000,95.24,5,29
666,2.7021,50000,95.24,10,31
667,2.7021,50000,95.24,5,31
668,2.7021,50000,95.24,5,34
669,2.7021,52016,128.17,3,34
670,2.7021,57078,134.77,5.85,34
671,2.7021,50000,95.24,10,34
672,2.7021,50000,95.24,5,36
673,2.7021,166666,114.29,50,36
674,2.7021,99000,112.82,4.8,36
675,2.7021,126061,113.86,30,36
676,2.7021,60000,107.2,7,38
677,2.7021,60000,137.13,10,38
678,2.7021,4000000,114.29,25,38
679,2.7021,1600000,108.87,7,38
680,2.7021,500000,113.5,8,38
681,2.7021,50000,95.24,10,42
682,2.7021,200000,127.19,10,44
683,2.7021,50000,95.24,10,44
684,2.7021,60000,109.07,7,44
685,2.7021,21000,89.85,5.3,46
686,2.7021,21000,136.05,7,46
687,2.7021,52381,114.57,20,48
688,2.7021,50000,95.24,10,48
689,2.7021,21000,119.05,16,48
690,2.7021,100000,119.05,60,48
691,2.7021,100000,107.29,5,50
692,2.7021,100000,100.5,3,50
693,2.7021,60000,109.59,5,50
694,2.7021,21000,114.29,50,50
