,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
125,2,2.71E+15,50000,95.24,10,112,25522,3.14,3
126,3,2.71E+15,90000,116.26,39,38,25656,3.03,1.6
127,1.6,2.70E+15,90000,114.94,24,92,19882,3.08,1.6
128,1.6,2.71E+15,500000,111.04,31,15,29763,3.02,1.5
129,1.5,2.71E+15,70000,118.93,4,29,25585,3.03,1.6
130,1.6,2.71E+15,106938,93.51,20,63,17394,3.04,1.6
131,1.6,2.71E+15,70000,118.93,8,43,14615,3.05,1.5
132,1.5,2.71E+15,60000,136.05,3,29,16590,3.06,3
133,3,2.71E+15,106938,93.51,27,29,26167,3.03,1.5
134,1.5,2.71E+15,42000,116.26,2,6,20877,3.02,1.6
135,1.6,2.71E+15,106810,93.62,4,37,16092,3.02,1
136,1,2.71E+15,106938,93.51,56,38,13652,3.04,1.5
137,1.5,2.71E+15,21000,111.11,3,44,13772,3.05,1.5
138,1.5,2.71E+15,200000,104.12,16,3,11002,3.12,6.75
139,6.75,2.71E+15,1000000,109.07,2,17,6230,3.02,1.5
140,1.5,2.71E+15,104130,115.24,9,55,14068,3.06,1
141,1,2.71E+15,21000,111.11,44,165,31063,3.1,1.5
142,1.5,2.71E+15,1600000,127.87,45,65,18545,3.04,1.5
143,1.5,2.71E+15,180000,82.33,63,17,25134,3.12,1.5
144,1.5,2.71E+15,104354,105.13,1,25,8411,3.03,1.5
145,1.5,2.71E+15,65000,132.72,13,64,19931,3.08,1.5
146,1.5,2.72E+15,6720000,120.56,8,2,7991,3.03,1.8
147,1.8,2.72E+15,43775,114.22,3,113,23231,3.08,2
148,2,2.72E+15,60000,115.89,6,39,11365,3.03,7
149,7,2.72E+15,7000000,114.57,10,15,3563,3.02,1.5
150,1.5,2.72E+15,65000,131.78,1,25,6784,3.03,1.5
151,1.5,2.72E+15,21000,119.05,5,51,12284,3.05,1.5
152,1.5,2.72E+15,46670,103.81,38,154,36232,3.18,5
153,5,2.71E+15,250000,133.14,59,32,30637,3.04,2
154,2,2.71E+15,21000,111.11,2,39,21224,3.12,3
155,3,2.71E+15,21000,111.11,5,39,6710,3.04,20
156,20,2.71E+15,25600,136.63,3,154,30639,3.1,3
157,3,2.70E+15,1600000,127.87,177,72,27446,3.03,1.6
158,1.6,2.70E+15,21000,111.11,33,102,28920,3.1,2
159,2,2.70E+15,50000,116.33,391,123,28966,3.02,1
