,gaspricel1,difficulty,gaslimit,rate,confirmtime,transaction_count,size,reward,gasprice
835,1,2.76E+15,21000,118.67,12,41,27230,3.1,2
836,2,2.75E+15,21000,111.11,15,68,32118,3.09,2
837,2,2.76E+15,21000,119.05,2,24,16706,3.06,2
838,2,2.76E+15,441305,119.26,131,17,18396,3.02,1.4
839,1.4,2.76E+15,1018880,111.78,216,1,8080,3.02,1.4
840,1.4,2.76E+15,170000,116.43,866,3,5154,3.02,1.3
841,1.3,2.76E+15,60000,115.89,3,47,22210,3.06,1
842,1,2.76E+15,21000,126.98,12,37,21089,3.07,1.3
843,1.3,2.77E+15,6720000,110.52,2,1,10042,3.12,20
844,20,2.77E+15,1154555,106.68,21,2,6774,3.02,1.4
845,1.4,2.77E+15,105000,114.06,12,49,38744,3.12,2
846,2,2.77E+15,72000,114.33,3523,3,20934,3.07,1
847,1,2.77E+15,1000000,112.07,938,2,6216,3.02,1.3
848,1.3,2.77E+15,21000,119.05,9,72,39989,3.11,1
849,1,2.77E+15,70000,105.98,19,21,32400,3.08,3.11
850,3.11,2.77E+15,42000,115.58,34,1,23577,3.1,3
851,3,2.76E+15,246818,105.69,79,1,28901,3.09,2.3
852,2.3,2.76E+15,105000,115.57,13,24,20001,3.1,10
853,10,2.76E+15,21000,102.04,2,25,17210,3.06,2.6
854,2.6,2.76E+15,50000,116.38,6,66,34747,3.04,1
855,1,2.76E+15,150000,112.36,28,55,25873,3.11,2
856,2,2.76E+15,4000000,115.66,51,18,22293,3.08,2
857,2,2.76E+15,166666,114.29,19,42,30107,3.08,1.3
858,1.3,2.76E+15,21000,111.11,75,45,34494,3.17,3
859,3,2.76E+15,52967,94.4,49,9,19544,3.05,1.4
860,1.4,2.76E+15,100000,116.03,121,9,19409,3.05,1.3
861,1.3,2.76E+15,4986349,110.91,108,1,14416,3.03,2.55
862,2.55,2.76E+15,133000,110.35,2111,7,17119,3.04,1.3
863,1.3,2.76E+15,21000,111.11,21,52,31975,3.1,1.4
864,1.4,2.76E+15,400000,117.3,867,8,10294,3.02,1.3
865,1.3,2.76E+15,77206,115.88,50,4,20097,3.04,1
866,1,2.76E+15,21000,111.81,18,2,25323,3.09,1
867,1,2.76E+15,37600,88.5,6,36,19415,3.07,2
868,2,2.76E+15,21000,111.11,16,13,20411,3.09,2
869,2,2.77E+15,50000,116.24,10,29,23603,3.02,1
870,1,2.76E+15,150000,113.21,3,30,28935,3.13,10
871,10,2.75E+15,95117,115.18,50,26,31208,3.14,5.3
872,5.3,2.75E+15,25200,116.23,79,15,32356,3.13,3.812
873,3.812,2.75E+15,146718,107.03,21,14,13419,3.06,3
874,3,2.75E+15,55000,108.11,2,47,23894,3.06,3
875,3,2.75E+15,42000,116.32,59,14,23066,3.04,2
876,2,2.75E+15,1600000,127.87,37,11,21576,3.04,2
877,2,2.75E+15,21000,111.11,37,19,22930,3.07,3
878,3,2.75E+15,21000,111.11,42,8,11312,3.09,30
879,30,2.75E+15,50000,116.81,39,3,24235,3.06,1
880,1,2.75E+15,21000,114.29,2,19,4230,3.02,20
881,20,2.75E+15,1000000,117.39,96,31,16823,3.04,2
882,2,2.75E+15,1600000,127.87,65,5,16795,3.14,3
883,3,2.75E+15,21000,119.05,5,29,21991,3.08,3
884,3,2.75E+15,267126,106.65,104,31,19126,3.05,2
885,2,2.75E+15,799999,114.89,4,27,10603,3.03,3
886,3,2.76E+15,40000,116.75,186,11,14520,3.03,1.4
887,1.4,2.76E+15,100000,115.78,220,6,14258,3.11,1.3
888,1.3,2.76E+15,400000,115.07,23,40,28902,3.13,3
889,3,2.76E+15,60000,116.1,24,93,40382,3.05,3
890,3,2.76E+15,1000000,113.68,10,70,18761,3.17,4
891,4,2.76E+15,4000000,115.67,8,61,26193,3.05,3
892,3,2.76E+15,54973,110.01,3,69,31928,3.09,2
893,2,2.76E+15,60000,115.76,16,35,31086,3.07,3
894,3,2.76E+15,166666,114.29,66,89,39982,3.2,10
895,10,2.75E+15,2000000,121.69,87,17,37488,3.13,6
896,6,2.75E+15,21000,95.24,67,9,21614,3.17,5
897,5,2.76E+15,346591,117.06,90,3,18774,3.05,4.5
898,4.5,2.76E+15,74422,100.78,108,29,31906,3.07,3
899,3,2.76E+15,21000,119.05,1,33,24660,3.05,3
900,3,2.75E+15,21000,95.24,10,27,28925,3.13,10
901,10,2.75E+15,21000,95.24,7,25,20502,3.07,4.5
902,4.5,2.75E+15,50000,116.24,62,24,29237,3.08,1
903,1,2.75E+15,21000,111.11,44,19,27587,3.08,3
904,3,2.76E+15,150000,114.29,6,23,22512,3.08,3
905,3,2.76E+15,60000,115.53,208,47,35620,3.04,3
906,3,2.76E+15,60000,115.57,60,30,33906,3.05,3
907,3,2.76E+15,100000,133.3,15,44,38311,3.13,3
908,3,2.76E+15,100000,116.26,262,12,33212,3.05,2
909,2,2.75E+15,21000,95.24,6,13,16083,3.07,6
910,6,2.75E+15,21000,116.41,70,83,41829,3.03,3
911,3,2.75E+15,150000,116.02,8,30,32624,3.1,4
912,4,2.75E+15,60000,137.92,9,45,27110,3.11,4
913,4,2.75E+15,60000,116.7,54,32,30355,3.06,3
914,3,2.76E+15,60000,116.21,93,24,28602,3.15,3
915,3,2.75E+15,21000,126.98,14,53,29690,3.08,3
916,3,2.76E+15,70000,119.13,10,28,16967,3.09,3
917,3,2.75E+15,60000,116.22,202,63,28377,3.06,3
918,3,2.75E+15,65000,124.43,22,72,47177,3.06,3
919,3,2.75E+15,67141,99.29,2,35,21116,3.03,2.1
920,2.1,2.75E+15,166666,114.29,13,103,31734,3.08,1
921,1,2.75E+15,100000,106.76,131,28,24467,3.03,2
922,2,2.76E+15,70000,118.93,2,12,3657,3.02,20
923,20,2.76E+15,21000,95.24,8,62,25597,3.07,3
924,3,2.76E+15,60000,115.89,380,29,17094,3.02,1.5
925,1.5,2.76E+15,1000000,118.14,4,10,15827,3.07,5
926,5,2.77E+15,70000,119.13,4,45,21327,3.09,3
927,3,2.76E+15,680000,116.64,534,6,14922,3.03,1.365
928,1.365,2.77E+15,90000,116.25,6,16,13958,3.03,1.3
929,1.3,2.77E+15,57087,127.42,9,26,19262,3.06,5
930,5,2.77E+15,300000,149.97,21,14,27527,3.07,2
931,2,2.77E+15,200000,104.93,1,37,22656,3.06,2
932,2,2.77E+15,100000,107.14,47,2,7159,3.03,1.5
933,1.5,2.77E+15,21000,102.04,2,19,19587,3.04,1.3
934,1.3,2.77E+15,21000,119.05,1,56,32647,3.1,1.3
935,1.3,2.78E+15,21000,95.24,1,14,10422,3.03,3.25
936,3.25,2.77E+15,42000,119.05,5,94,38226,3.14,5
937,5,2.77E+15,41000,115.9,44,26,23976,3.14,1.3
938,1.3,2.78E+15,21000,129.87,16,18,24198,3.07,2
939,2,2.78E+15,382588,112.06,19,8,6805,3.02,1
940,1,2.78E+15,500000,124.92,243,3,5841,3.02,1.297
941,1.297,2.78E+15,350646,105.57,1143,1,8209,3.03,1.3
942,1.3,2.78E+15,50000,115.52,65,38,16559,3.03,1
943,1,2.79E+15,441355,100.09,66,1,6277,3.02,1.3
944,1.3,2.78E+15,21000,119.05,13,34,26779,3.12,4.5
945,4.5,2.78E+15,42000,115.89,17,44,26331,3.06,2
946,2,2.77E+15,200000,95.24,31,82,28013,3.14,3
947,3,2.77E+15,52051,117.15,4,10,3269,3.02,20
948,20,2.78E+15,42000,115.65,18,35,19610,3.19,3
949,3,2.78E+15,60000,112.63,2,2,1287,3,20
950,20,2.78E+15,400000,119.26,68,25,21079,3.1,2
951,2,2.78E+15,850000,114.92,45,10,19962,3.08,6
952,6,2.78E+15,100000,87.35,44,11,23203,3.04,2
953,2,2.77E+15,150000,118.31,1,36,34158,3.14,4
954,4,2.78E+15,21000,115.64,24,22,18754,3.12,2
955,2,2.78E+15,40000,116.23,42,10,22335,3.09,1.3
956,1.3,2.78E+15,100000,115.87,171,4,25867,3.04,1.3
957,1.3,2.78E+15,229291,101.7,241,2,12905,3.03,1
958,1,2.79E+15,4000000,115.66,9,42,19027,3.05,1.6
959,1.6,2.79E+15,229291,109.96,1441,3,13021,3.01,1.291
960,1.291,2.79E+15,4000000,114.29,10,33,20882,3.05,1.286
961,1.286,2.80E+15,70000,118.93,16,9,5647,3.02,5
962,5,2.80E+15,1158180,107.96,19,3,13541,3.02,1.4
963,1.4,2.80E+15,25200,136.05,15,53,26532,3.08,2
964,2,2.79E+15,74316,112.83,5,21,11874,3.02,1.4
965,1.4,2.79E+15,250000,114.39,7,33,13576,3.03,2
966,2,2.79E+15,21000,116.24,1664,2,8115,3.03,1
967,1,2.79E+15,90000,116.38,16,66,32420,3.1,2
968,2,2.79E+15,4537025,115.96,51,4,15357,3.04,3.3
969,3.3,2.78E+15,21040,116.39,122,9,26419,3.04,1.3
970,1.3,2.78E+15,50000,115.52,31,111,38976,3.08,1
971,1,2.78E+15,21000,116.29,39,34,30694,3.03,1.4
972,1.4,2.78E+15,50000,116.28,24,9,23350,3.13,1.3
973,1.3,2.78E+15,50000,116.34,73,10,16190,3.02,1.3
974,1.3,2.77E+15,21000,136.05,83,67,33079,3.13,5
975,5,2.77E+15,90000,116.33,88,45,26736,3.05,2
976,2,2.77E+15,70000,113.36,5,62,20762,3.04,1.3
977,1.3,2.76E+15,110000,110.84,56,84,33218,3.1,2
978,2,2.76E+15,47132,118.5,3,70,28037,3.08,2
979,2,2.76E+15,50000,116.09,16,62,25757,3.05,1
980,1,2.75E+15,21000,114.29,3,2,949,3,41
981,41,2.75E+15,25200,116.4,18,20,26348,3.06,1
982,1,2.76E+15,50000,115.75,22,3,21514,3.09,3
983,3,2.75E+15,340264,117.56,17,45,17638,3.09,5
984,5,2.74E+15,145574,109.71,77,11,15828,3.2,5
985,5,2.74E+15,21000,95.24,38,13,5390,3.09,5
986,5,2.74E+15,6720000,120.72,162,2,16330,3.11,6
987,6,2.74E+15,42000,116.26,122,10,10614,3.06,3.609
988,3.609,2.74E+15,21000,119.05,15,34,22895,3.1,3.609
989,3.609,2.74E+15,1207354,117.14,199,16,29409,3.08,1
990,1,2.74E+15,1207354,116.47,188,9,10812,3.05,3
991,3,2.74E+15,1309297,116.85,206,5,17680,3.08,5
992,5,2.74E+15,1216774,116.33,202,9,6057,3.04,3
993,3,2.74E+15,918501,111.1,86,1,17404,3.06,5
994,5,2.74E+15,110000,80.96,253,2,7214,3.06,3
995,3,2.74E+15,117669,132.42,209,1,8654,3.05,3
996,3,2.75E+15,70000,118.93,4,16,3162,3.01,20
997,20,2.75E+15,1000000,116.34,9,26,16465,3.04,4
998,4,2.75E+15,21000,115.88,231,21,15502,3.05,2.406
999,2.406,2.74E+15,78332,122.57,40,122,29602,3.11,3.609
1000,3.609,2.74E+15,400000,115.65,2,50,17834,3.05,2.9
1001,2.9,2.74E+15,21000,105.82,4,87,26467,3.05,2
1002,2,2.74E+15,36785,101.31,13,64,19529,3.06,2
1003,2,2.74E+15,90000,114.94,3,27,6168,3.05,20
1004,20,2.74E+15,42000,95.84,13,85,20231,3.04,2
1005,2,2.74E+15,37353,116.25,374,32,24618,3.04,2
1006,2,2.74E+15,42000,105.42,6,79,31335,3.08,3
1007,3,2.73E+15,710000,110.45,58,17,14533,3.06,3
1008,3,2.74E+15,1600000,127.87,198,62,21177,3.04,1.44
1009,1.44,2.74E+15,400000,118.52,10,69,17313,3.05,1.5
1010,1.5,2.74E+15,42000,119.05,3,44,26032,3.07,1.5
1011,1.5,2.74E+15,50000,115.48,81,65,26510,3.03,1
1012,1,2.74E+15,42000,119.05,33,110,27886,3.11,5
1013,5,2.73E+15,53000,90.97,32,69,22416,3.07,3
1014,3,2.74E+15,90000,112.31,6,7,2211,3.01,20
1015,20,2.74E+15,4000000,115.66,23,83,23833,3.07,2.1
1016,2.1,2.74E+15,70000,118.93,2,14,2848,3.01,18
1017,18,2.74E+15,76869,129.93,31,69,23783,3.09,3
1018,3,2.74E+15,150000,82.37,795,12,3733,3.02,1.3
1019,1.3,2.74E+15,184428,118.16,1,99,21236,3.08,3
1020,3,2.74E+15,100000,125.85,6,43,11680,3.02,1.3
1021,1.3,2.74E+15,250000,107.32,38,118,35600,3.1,3
1022,3,2.74E+15,250000,110.04,4,68,25427,3.07,3
1023,3,2.74E+15,4000000,114.29,3,39,13119,3.04,1.1
1024,1.1,2.74E+15,150000,115.87,10,5,1945,3.01,50
1025,50,2.74E+15,400000,114.86,1,137,33425,3.13,1
1026,1,2.73E+15,105000,114.29,14,70,25148,3.07,4
1027,4,2.73E+15,21000,119.05,2,140,31273,3.12,1
1028,1,2.73E+15,55000,106.52,11,43,23589,3.06,3
1029,3,2.72E+15,120000,119.07,35,49,24325,3.11,3
1030,3,2.72E+15,42000,105.42,12,41,21891,3.06,3
1031,3,2.72E+15,400000,114.71,23,37,15243,3.04,3
1032,3,2.72E+15,235507,118.76,141,45,15281,3.12,2
1033,2,2.73E+15,4000000,115.66,12,58,25854,3.07,2
1034,2,2.73E+15,50000,116.33,387,40,25133,3.04,1.3
1035,1.3,2.73E+15,93024,110.76,26,3,23362,3.07,5
1036,5,2.73E+15,120000,116.77,5,61,18636,3.12,2
1037,2,2.72E+15,93536,110.59,42,80,25900,3.09,3
1038,3,2.72E+15,211396,114.02,23,47,23262,3.06,2
1039,2,2.72E+15,21000,116.26,34,9,23719,3.1,2
1040,2,2.72E+15,1600000,127.87,67,9,24903,3.06,1.711
1041,1.711,2.72E+15,2166054,110.86,120,1,12787,3.03,3
1042,3,2.72E+15,21000,124.22,3,61,25371,3.09,5
1043,5,2.72E+15,118580,114.06,8,58,8546,3.02,1
1044,1,2.72E+15,21000,116.22,15,63,30229,3.05,2
1045,2,2.72E+15,104688,114.63,19,88,25867,3.09,4
1046,4,2.71E+15,87939,111.72,39,160,29972,3.1,3
1047,3,2.71E+15,21000,115.89,105,109,25798,3.06,3
1048,3,2.71E+15,392742,118.15,34,97,25091,3.06,1.6
1049,1.6,2.71E+15,500000,112.67,48,66,18405,3.04,2
1050,2,2.71E+15,500000,114.32,29,93,27258,3.06,1.5
1051,1.5,2.71E+15,500000,124.92,23,37,16789,3.02,1.01
1052,1.01,2.71E+15,150000,114.29,8,104,29370,3.04,1
1053,1,2.71E+15,47641,151.6,1,11,6532,3.01,3.6
1054,3.6,2.71E+15,21000,119.05,30,104,27867,3.06,2
1055,2,2.71E+15,1529862,116.98,141,21,10101,3.02,1.3
1056,1.3,2.70E+15,90000,120.57,2,101,28397,3.09,2
1057,2,2.70E+15,21000,126.98,28,100,26655,3.09,2
1058,2,2.70E+15,1000000,113.92,51,35,12645,3.03,1.8
1059,1.8,2.70E+15,1000000,115.71,16,29,15231,3.13,2
1060,2,2.70E+15,279255,101.73,122,42,11732,3.02,1.3
1061,1.3,2.71E+15,21000,119.05,2,12,6246,3.02,2
1062,2,2.70E+15,250000,115.87,2,91,22063,3.1,3
1063,3,2.70E+15,816630,136.54,48,13,17897,3.05,2
1064,2,2.70E+15,710000,110.45,6,51,27995,3.07,2
1065,2,2.70E+15,21000,119.05,5,47,27887,3.06,1
1066,1,2.70E+15,360000,116.47,17,61,23613,3.06,1
1067,1,2.70E+15,67141,80.68,40,113,32385,3.16,1
1068,1,2.70E+15,6720000,120.56,17,21,18577,3.05,1
1069,1,2.70E+15,42000,116.33,14,13,9865,3.08,2
1070,2,2.70E+15,1000000,117.34,25,9,16061,3.08,1
1071,1,2.70E+15,21000,111.11,4,2,751,3,30
1072,30,2.70E+15,60000,115.89,9,67,30145,3.06,1.5
1073,1.5,2.70E+15,200000,119.05,25,109,21552,3.07,1.5
1074,1.5,2.69E+15,400000,114.56,106,80,27365,3.07,2
1075,2,2.69E+15,52967,94.4,96,44,21249,3.16,1.6
1076,1.6,2.69E+15,1600000,127.87,138,19,21647,3.07,3
1077,3,2.69E+15,7200026,113.67,859,1,10483,3.03,3.25
1078,3.25,2.69E+15,250000,127.81,2,20,23122,3.08,4
1079,4,2.69E+15,57354,116.1,70,41,24106,3.03,1
1080,1,2.69E+15,60000,106.32,20,65,28664,3.08,1
1081,1,2.69E+15,21000,116.14,16,67,31187,3.08,2
1082,2,2.69E+15,21000,102.04,5,88,26015,3.09,3
1083,3,2.69E+15,333996,116.23,11,76,25326,3.07,3
1084,3,2.69E+15,1600000,127.87,78,30,33951,3.03,2
1085,2,2.67E+15,21000,119.05,86,115,27799,3.08,2
1086,2,2.67E+15,70000,119.33,109,47,19616,3.06,5
1087,5,2.67E+15,52698,94.88,35,44,28972,3.03,1.6
1088,1.6,2.67E+15,100000,115.65,86,10,11255,3.03,1.5
1089,1.5,2.67E+15,70000,118.93,17,107,29517,3.08,2
1090,2,2.68E+15,70000,119.13,4,75,24398,3.05,1
1091,1,2.68E+15,21000,119.05,14,41,16032,3.03,1.4
1092,1.4,2.67E+15,180000,122.73,19,126,31589,3.11,2
1093,2,2.67E+15,400000,116.22,4,43,14558,3.03,1.4
1094,1.4,2.67E+15,150000,106.24,15,83,23765,3.07,5
1095,5,2.67E+15,235507,133.6,32,36,7441,3.02,1.3
1096,1.3,2.68E+15,50000,116.29,94,78,16204,3.03,1
1097,1,2.67E+15,100000,109.47,14,73,21126,3.05,1.3
1098,1.3,2.68E+15,21000,95.24,1,23,14009,3.04,1.4
1099,1.4,2.68E+15,80967,115.87,16,14,18221,3.05,1
1100,1,2.68E+15,1983804,115.36,5419,2,19341,3.05,1
1101,1,2.68E+15,7600027,115.93,1219,4,3799,3.02,1
1102,1,2.68E+15,70000,105.62,10,9,7401,3.06,10
1103,10,2.68E+15,4000000,115.66,24,48,23878,3.05,1.4
1104,1.4,2.68E+15,100000,116.41,6,48,12373,3.03,1.3
1105,1.3,2.68E+15,150000,116.02,1,30,9190,3.03,3
1106,3,2.68E+15,70000,118.93,2,1,2392,3.01,20
1107,20,2.68E+15,50000,116.68,66,29,17631,3.03,1.4
1108,1.4,2.68E+15,90000,114.94,7,16,3135,3.01,20
1109,20,2.68E+15,90000,125.02,8,86,21975,3.05,5
1110,5,2.69E+15,70000,119.13,5,70,20811,3.03,1.4
1111,1.4,2.69E+15,90000,107.19,27,17,18148,3.04,5
1112,5,2.68E+15,400000,115.17,30,144,39415,3.09,1
1113,1,2.68E+15,21000,95.24,73,45,23552,3.05,5
1114,5,2.68E+15,100000,115.88,95,71,27413,3.04,1.4
1115,1.4,2.68E+15,52065,122.22,4,54,29993,3.2,5
1116,5,2.68E+15,42000,105.42,41,73,26983,3.07,2
1117,2,2.67E+15,21000,119.05,4,51,24869,3.1,5.5
1118,5.5,2.67E+15,45272,118.76,1,50,20908,3.08,4
1119,4,2.67E+15,111951,125.02,12,14,14278,3.05,2
1120,2,2.67E+15,90000,125.02,144,74,22432,3.09,5
1121,5,2.68E+15,37417,116.41,93,41,17289,3.05,1.5
1122,1.5,2.67E+15,150000,120.52,5,25,8081,3.05,10.1
1123,10.1,2.68E+15,21000,79.37,36,42,15589,3.09,1.5
1124,1.5,2.68E+15,250000,116.33,116,56,26564,3.05,1.5
1125,1.5,2.68E+15,50000,95.24,15,62,15946,3.1,5
1126,5,2.68E+15,100000,115.75,37,23,13233,3.05,1.4
1127,1.4,2.68E+15,21000,136.05,16,41,17493,3.11,1.5
1128,1.5,2.68E+15,166666,114.29,8,31,18949,3.05,2
1129,2,2.68E+15,50000,115.9,3,27,4888,3,1
1130,1,2.68E+15,2451000,115.81,92,1,22009,3.05,6
1131,6,2.68E+15,250000,102.18,222,1,26925,3.03,1.5
1132,1.5,2.69E+15,55000,115.38,2,22,6708,3.02,1.5
1133,1.5,2.69E+15,250000,113.38,19,102,23621,3.08,2
1134,2,2.68E+15,50000,115.9,1201,168,34807,3.06,1
1135,1,2.68E+15,2280000,116.32,11,22,14694,3.03,1
1136,1,2.68E+15,42000,119.05,1,1,826,3,20
1137,20,2.68E+15,90000,115.48,17,12,13225,3.03,2
1138,2,2.69E+15,21000,116.24,2,42,15801,3.04,1.5
1139,1.5,2.69E+15,1200000,106.46,9,20,19994,3.04,2
1140,2,2.69E+15,1345000,119.09,4,72,23342,3.06,1.7
1141,1.7,2.69E+15,50000,116.38,41,44,21693,3.04,1
1142,1,2.69E+15,67902,118.91,17,111,26602,3.17,2
1143,2,2.70E+15,21000,115.55,6,43,12403,3.04,2
1144,2,2.69E+15,1000000,117,5,107,19758,3.04,2
1145,2,2.69E+15,600000,116.68,7,17,28872,3.02,1.5
1146,1.5,2.69E+15,21000,119.05,14,59,24383,3.07,1.5
1147,1.5,2.69E+15,150000,114.14,21,39,20590,3.12,5
1148,5,2.68E+15,42000,119.05,51,67,22073,3.13,20
1149,20,2.68E+15,21000,79.37,14,67,27211,3.07,3
1150,3,2.68E+15,21000,136.05,9,51,18531,3.09,3
1151,3,2.68E+15,21000,115.83,118,41,28012,3.03,2
1152,2,2.68E+15,70000,119.13,7,13,2730,3.01,20
1153,20,2.68E+15,21000,95.24,16,80,25565,3.05,2
1154,2,2.68E+15,40000,116.21,225,16,18219,3.02,1.4
1155,1.4,2.68E+15,4000000,115.66,2,58,16217,3.04,2
1156,2,2.68E+15,50000,116.24,68,101,27048,3.03,1
1157,1,2.68E+15,200000,122.57,339,28,9532,3.02,1.176
1158,1.176,2.68E+15,38370,108.59,13,89,20338,3.08,2.4
1159,2.4,2.68E+15,100000,114.31,6,35,13686,3.08,3
1160,3,2.68E+15,144028,132.94,45,68,24101,3.04,1.4
1161,1.4,2.68E+15,50000,115.82,72,38,22196,3.15,1.5
1162,1.5,2.68E+15,500000,111.04,19,33,19719,3.03,1
1163,1,2.68E+15,21000,129.87,2,46,28326,3.08,2
1164,2,2.68E+15,21000,115.71,58,128,28066,3.07,1.711
1165,1.711,2.68E+15,635000,99.62,10,69,28146,3.08,2
1166,2,2.68E+15,65000,132.72,6,58,17799,3.03,1.4
1167,1.4,2.68E+15,65000,127.3,19,59,19761,3.05,1
1168,1,2.68E+15,21000,109.89,18,53,22702,3.07,2
1169,2,2.68E+15,420000,122.45,8,30,31894,3.04,3
1170,3,2.68E+15,1000000,117.24,32,43,23399,3.05,1
1171,1,2.68E+15,4000000,115.66,11,4,7137,3.02,1
1172,1,2.68E+15,335000,112,8,28,16038,3.15,4
1173,4,2.68E+15,50000,116.24,30,49,17725,3.02,1
1174,1,2.68E+15,21000,136.05,28,49,25169,3.04,1.5
1175,1.5,2.68E+15,5077315,115.7,10225,7,17825,3.02,1.4
1176,1.4,2.68E+15,37762,115.9,13,19,11548,3.02,1.5
1177,1.5,2.68E+15,21000,102.04,23,70,26695,3.08,2
1178,2,2.68E+15,400000,98.43,54,22,20393,3.03,1.4
1179,1.4,2.68E+15,21000,116.25,11,11,7942,3.02,1
1180,1,2.68E+15,90000,97.46,36,106,26926,3.07,1.5
1181,1.5,2.68E+15,150000,115.87,42,13,2974,3.02,20
1182,20,2.68E+15,70000,119.13,7,92,26455,3.08,3
1183,3,2.68E+15,90000,128.29,6,25,20199,3.03,2
1184,2,2.68E+15,70000,119.13,16,81,25347,3.07,2
1185,2,2.68E+15,50000,116.24,18,98,27041,3.03,1
1186,1,2.67E+15,50000,95.01,5,78,29564,3.07,3
1187,3,2.67E+15,21000,109.89,13,122,29505,3.06,2
1188,2,2.67E+15,105000,114.79,21,5,1768,3.01,20
1189,20,2.67E+15,70000,107.68,17,102,18722,3.04,2
1190,2,2.67E+15,198006,129.44,147,43,19586,3.04,1.4
1191,1.4,2.67E+15,21000,95.24,10,74,23329,3.07,3
1192,3,2.67E+15,33705,115.52,20,40,9880,3.02,1
1193,1,2.67E+15,1260000,115.69,8,51,20060,3.06,1.4
1194,1.4,2.67E+15,104482,104.88,1,81,23126,3.07,2
1195,2,2.67E+15,40000,116.32,6,30,24178,3.02,1.4
1196,1.4,2.67E+15,2000000,115.43,4,111,28163,3.08,1.053
1197,1.053,2.67E+15,250000,114.48,9,66,25298,3.06,1
1198,1,2.67E+15,420000,122.45,10,19,12097,3.18,2
1199,2,2.67E+15,293691,127.69,44,7,20738,3.04,2
1200,2,2.67E+15,500000,118.97,17,16,17686,3.02,1.4
1201,1.4,2.68E+15,21000,136.05,7,44,17574,3.08,1.4
1202,1.4,2.67E+15,1600000,117.73,26,4,17965,3.05,4.101
1203,4.101,2.68E+15,50000,87.95,914,3,13182,3.02,1
1204,1,2.68E+15,5032059,116.78,10971,1,18771,3.03,1.4
1205,1.4,2.68E+15,5500000,114.86,9633,1,8614,3.03,1.4
1206,1.4,2.68E+15,1600000,127.87,3,37,22876,3.06,2
1207,2,2.67E+15,21000,116.22,26,118,29284,3.1,2
1208,2,2.67E+15,110397,135.87,22,8,8670,3.02,1.5
1209,1.5,2.68E+15,350000,127.53,42,17,13509,3.03,1.122
1210,1.122,2.68E+15,200001,137.57,78,2,10070,3.02,1.122
1211,1.122,2.68E+15,50000,116.29,15,33,19525,3.02,1
1212,1,2.68E+15,60000,109.41,3,15,15438,3.04,2
1213,2,2.68E+15,710000,110.45,5,8,10192,3.03,5
1214,5,2.68E+15,235000,112.35,1,29,23154,3.07,3
1215,3,2.68E+15,7600027,116.91,770,6,11540,3.02,2
1216,2,2.68E+15,50000,115.76,47,25,16407,3.02,1
1217,1,2.69E+15,90000,116.4,5,6,12622,3.03,2
1218,2,2.68E+15,42000,119.05,9,26,11937,3.06,20
1219,20,2.68E+15,21000,126.98,27,67,24606,3.06,2
1220,2,2.68E+15,60000,116.22,56,45,23222,3.05,1.263
1221,1.263,2.68E+15,70000,105.45,29,10,25671,3.03,1.047
1222,1.047,2.68E+15,175000,121.14,420,11,17139,3.02,1.021
1223,1.021,2.69E+15,6720000,110.52,1,15,12337,3.05,1.5
1224,1.5,2.68E+15,21000,136.05,7,66,22381,3.08,1.5
1225,1.5,2.68E+15,710000,110.45,30,94,25403,3.07,3
1226,3,2.68E+15,328332,114.21,9,19,17947,3.05,2
1227,2,2.68E+15,133000,102.47,23,17,18992,3.03,1.3
1228,1.3,2.68E+15,90000,105.25,27,58,27022,3.1,1.1
1229,1.1,2.68E+15,40000,115.86,49,16,14053,3.02,1.4
1230,1.4,2.67E+15,21000,119.05,45,117,27495,3.1,3
1231,3,2.68E+15,21000,95.24,5,88,25640,3.07,2
1232,2,2.67E+15,50000,95.24,23,114,27889,3.08,2
1233,2,2.68E+15,144011,141.83,37,21,10357,3.02,1.3
1234,1.3,2.68E+15,21000,95.24,1,31,11578,3.09,2
1235,2,2.68E+15,21000,136.05,15,69,22192,3.09,2
1236,2,2.68E+15,90000,115.71,22,14,24886,3.06,2
1237,2,2.68E+15,108770,125.57,3,8,7563,3.02,1.4
1238,1.4,2.68E+15,21000,119.05,7,36,19604,3.07,1
1239,1,2.68E+15,2048455,117.69,2,13,9374,3.04,1.4
1240,1.4,2.68E+15,70000,119.13,14,60,18262,3.05,1.3
1241,1.3,2.68E+15,21000,116.14,1,31,24717,3.06,2
1242,2,2.68E+15,21000,102.04,1,3,1411,3,13
1243,13,2.68E+15,350317,128.85,13,62,19144,3.05,1.5
1244,1.5,2.69E+15,4000000,115.66,16,5,12931,3.04,1
1245,1,2.69E+15,180000,115.77,5,59,20490,3.06,2
1246,2,2.69E+15,50000,116.33,21,86,17316,3.02,1
1247,1,2.69E+15,62973,117.04,2,21,20682,3.07,3
1248,3,2.68E+15,70000,119.13,39,24,5665,3.04,20
1249,20,2.68E+15,400000,114.81,12,86,27491,3.08,5
1250,5,2.67E+15,50000,95.24,55,111,32287,3.1,3
1251,3,2.68E+15,50000,95.24,60,35,24086,3.09,5
1252,5,2.67E+15,1600000,127.87,58,109,26800,3.03,2
1253,2,2.66E+15,21000,116.28,76,59,31979,3.1,2.2
1254,2.2,2.66E+15,1600000,127.87,49,40,27985,3.05,2
1255,2,2.67E+15,120000,116.21,74,58,23952,3.03,2
1256,2,2.67E+15,21000,119.05,3,25,17026,3.04,1.3
