,difficulty,gaslimit,gasused,gaspricel1,gaspricel2
2815,1952030000000000.0,8000000,7991499,100.0,140.0
4051,1926770000000000.0,8003894,7986540,1.0,1.0
371,1910710000000000.0,8007771,7988421,120.0,100.0
6790,1889990000000000.0,7984452,7978094,104.0,140.0
4490,1958810000000000.0,8007799,3100780,1.0,1.0
8157,1884750000000000.0,7999992,7997329,10.0,10.0
2542,1992650000000000.0,8000029,969643,10.0,20.0
7517,1990070000000000.0,7984452,7974208,1.0,0.1
4623,1964490000000000.0,7992155,7972990,10.0,10.0
6751,1891860000000000.0,7992185,7975074,1.0,10.0
6712,1913270000000000.0,7976718,7968193,12.0,100.0
8688,1880820000000000.0,8003933,7995308,20.0,1.0
2364,1994670000000000.0,7992230,7954890,0.1,10.0
1360,1947980000000000.0,7958441,7919292,1.0,1.0
911,1939650000000000.0,7994109,7981424,1.0,1.0
7852,1914590000000000.0,8000029,7988580,100.0,10.0
4509,1966470000000000.0,8003883,7988099,10.0,20.0
8764,1878010000000000.0,8000029,7865940,10.0,3.0
3349,1890730000000000.0,8003863,7985335,1.0,10.0
3165,1941390000000000.0,8000029,7984182,1.0,10.0
3685,1892410000000000.0,8000029,7983659,1.0,10.0
964,1956750000000000.0,7984452,7978032,1.0,10.0
6634,1923610000000000.0,7992222,7986024,20.0,100.0
1423,1947950000000000.0,8003733,7999793,10.0,1.0
122,1902500000000000.0,8000000,7990446,20.0,1.0
479,1904150000000000.0,7995663,393366,1.0,1.0
662,1911530000000000.0,7999955,7986372,1.0,1.0
2995,1945280000000000.0,7976645,1923779,0.1,1.0
3497,1892490000000000.0,8003914,7993759,10.0,10.0
3946,1932470000000000.0,8000029,7940840,1.0,1.0
6215,1934200000000000.0,7992222,7971981,1.0,100.0
5151,1929970000000000.0,7996070,2852854,10.0,10.0
2776,1975090000000000.0,7994470,7977874,13.0,12.0
439,1906030000000000.0,7996033,1435651,1.0,1.0
1379,1950820000000000.0,8000029,6943098,21.0,1.0
